result,table,bandwidth,core_usage,device_type,exec_time,get_image_duration,inference_duration,on_gpu,image_quality,mem_util,model_compression,model_load_time,name,num_hops,throughput,acc
,0,30,4500,APC,0.024405124459947858,0.0022702154432024274,0.016660985571997508,false,20,263.3845028571429,60,0.026595490319388255,model_60,1,9.303773130019229,45.18
,0,30,4500,APC,0.024674885851996287,0.010991683483123781,0.007579628774097988,true,20,2867.3117622857144,60,3.7865685394832065,model_60,1,8.897046278374738,45.18
,0,15,4500,APC,0.024698035682950703,0.002294477530888149,0.01680307480267116,false,20,252.4329691428571,60,0.023898022515433177,model_60,1,8.93290392417355,45.18
,0,30,4500,APC,0.024729903153010775,0.006745594467435564,0.011364457811628068,true,20,2870.458075428571,0,3.9188830171312605,model_0,1,8.683704768697309,65.896
,0,15,4500,APC,0.024981304883956907,0.011541580166135516,0.007504044600895473,true,20,2865.3035520000003,60,3.8791941915239607,model_60,1,8.588068436777784,45.18
,0,15,4500,APC,0.025207174539566037,0.007172556059701102,0.011303489787237985,true,20,2867.0367451428574,0,4.149085555757795,model_0,1,8.371069877264773,65.896
,0,30,4500,APC,0.02574737310409546,0.003972307840983073,0.016740598201751708,false,20,198.27780266666664,40,0.02577527364095052,model_40,2,7.302102787384718,49.748
,0,30,4500,APC,0.025841872692108154,0.003529742343085153,0.01677823836462838,false,40,249.37208685714288,60,0.02331035477774484,model_60,1,12.963710111270554,49.144
,0,10,4500,APC,0.025935985428946363,0.0039148239067622595,0.016542510202952793,false,20,206.34243657142858,60,0.02453742708478655,model_60,1,7.77455600737585,45.18
,0,30,4500,APC,0.025982481854302544,0.012600516046796528,0.0073470413344247,true,40,2861.2426605714286,60,3.8384049960545132,model_60,1,12.416554026278533,49.144
,0,30,4500,APC,0.026225684472492763,0.008286278792790005,0.011415371145520893,true,40,2858.8886308571427,0,3.542017936706543,model_0,1,12.225633527876086,69.332
,0,15,4500,APC,0.02636387658119202,0.005613103548685709,0.015821836630503336,false,20,179.761152,40,0.023366848627726238,model_40,2,6.899452469826656,49.748
,0,15,4500,APC,0.026985033273696897,0.005044606958116803,0.01651908768926348,false,40,207.200256,60,0.024870361600603377,model_60,1,11.260532958825603,49.144
,0,30,4500,APC,0.02701765636035374,0.004466536930629185,0.017072289841515677,false,60,226.47837257142857,60,0.025918279375348772,model_60,1,15.885588323514302,50.11
,0,10,4500,APC,0.027137266601834974,0.013839673859732492,0.007389739853995186,true,20,2863.791542857143,60,3.6959273474557057,model_60,1,7.461067826481765,45.18
,0,30,4000,APC,0.027301216874803812,0.007904253925595964,0.011934708186558314,true,20,2869.2193279999997,10,3.650240216936384,model_10,1,8.421846142504515,63.254
,0,10,4500,APC,0.027326491560254778,0.009784201962607248,0.011107104812349592,true,20,2863.9495314285714,0,3.8054753031049455,model_0,1,7.288540378300502,65.896
,0,30,4500,APC,0.027376704295476274,0.014110404253005982,0.007569274346033733,true,20,2862.071808,40,3.9942568143208823,model_40,2,6.948341171532211,49.748
,0,30,4500,APC,0.02760713648796082,0.014896847588675363,0.006902335166931153,true,60,2859.831296,60,3.7614711693355014,model_60,1,15.188947429258619,50.11
,0,30,4500,APC,0.027632882912953696,0.007148917039235433,0.01548323933283488,false,40,173.31541333333334,40,0.025505781173706055,model_40,2,9.983705431940729,53.616
,0,15,4000,APC,0.0279839118208204,0.008294452190399171,0.012043457405907768,true,20,2865.815552,10,3.877464090074812,model_10,1,8.004676460269545,63.254
,0,30,4000,APC,0.02806163922945658,0.003387619177500407,0.019157060146331787,false,20,215.24753066666668,50,0.025046348571777344,model_50,2,6.920388145188775,46.716
