avg_latency_spf,avg_througput_fps,case,classifier_cpu_mcores_ps,classifier_cpu_requested_millicores,data_quality,frame_duration_s,frame_queue_duration_s,get_image_duration_s,gpu,inference_threads,latency_spf,model,model_load_duration_s,model_quality,model_runtime,network_usage_mb,network_usage_megabits_ps,network_usage_megabits_ps_2,num_frames,num_hops,num_workers,requested_bandwidth_mbps,run_time_s,sensor_cpu_requested_millicores,source_file,tranfer_duration_s,uploaded_at
1.584161639213562,0.6312517523765564,offload,156.5433807373047,2000.0,100.0,1.5841045379638672,0.0060838065110147,1.3354517221450806,False,1.0,1.584161639213562,acdnet,0.046154499053955,100.0,pytorch,178773.609375,1.1257314682006836,0.9028374552726746,400.0,1.0,1.0,1.0,633.6646728515625,500.0,250210_acd_onoffbench.csv,1.5825438499450684,2025-03-20T16:05:05.290Z
1.5845565795898438,0.631095826625824,offload,191.48825073242188,2000.0,100.0,1.58446204662323,0.0042095463722944,1.4619975090026855,False,3.0,1.5845565795898438,acdnet,0.0402214527130126,100.0,pytorch,178773.609375,1.1215202808380127,0.9026337265968324,400.0,1.0,1.0,1.0,633.8226318359375,500.0,250210_acd_onoffbench.csv,1.5831605195999146,2025-03-20T16:05:05.290Z
0.0889766663312912,11.500689506530762,offload,2521.834716796875,4000.0,70.0,0.0885351970791816,6.934364795684815,0.00027045607566833496,False,3.0,0.0889766663312912,acdnet,0.0207983646541833,100.0,pytorch,178773.609375,17.637630462646484,16.153902053833008,400.0,1.0,1.0,30.0,35.590667724609375,500.0,250210_acd_onoffbench.csv,0.0529873333871364,2025-03-20T16:05:05.290Z
0.1579000055789947,6.333123683929443,ondevice,901.7523193359376,1000.0,70.0,0.1578609049320221,23.624162673950195,0.00035390822449699044,False,3.0,0.1579000055789947,acdnet,0.1009399890899658,70.0,pytorch,178734.234375,0.0,9.057808876037598,400.0,0.0,1.0,0.0,63.15999984741211,1000.0,250210_acd_onoffbench.csv,0.0,2025-03-20T16:05:05.290Z
0.2170124948024749,4.693470478057861,ondevice,1007.6903686523438,1000.0,40.0,0.2169387489557266,32.88601303100586,0.0004612338379956782,False,6.0,0.2170124948024749,acdnet,0.1967436075210571,100.0,pytorch,178734.234375,0.0,6.591141223907471,400.0,0.0,1.0,0.0,86.80500030517578,1000.0,250210_acd_onoffbench.csv,0.0,2025-03-20T16:05:05.290Z
0.1449937522411346,7.019372940063477,ondevice,1000.3772583007812,1000.0,100.0,0.1449456214904785,21.98213195800781,0.0005066498997621238,False,6.0,0.1449937522411346,acdnet,0.1169766187667846,40.0,pytorch,178734.234375,0.0,9.864898681640623,400.0,0.0,1.0,0.0,57.997501373291016,1000.0,250210_acd_onoffbench.csv,0.0,2025-03-20T16:05:05.290Z
0.3326075077056885,3.0269594192504883,offload,455.6666259765625,4000.0,70.0,0.3325330018997192,0.0468297004699707,0.1787017434835434,False,1.0,0.3326075077056885,acdnet,0.022971311584115,70.0,pytorch,178773.609375,4.960229873657227,4.30089282989502,400.0,1.0,1.0,5.0,133.04299926757812,500.0,250210_acd_onoffbench.csv,0.3316577672958374,2025-03-20T16:05:05.290Z
0.3136608302593231,3.188176155090332,offload,808.2696533203125,4000.0,70.0,0.3136071264743805,0.0051258425228297,0.268693208694458,False,6.0,0.3136608302593231,acdnet,0.0151609582826495,70.0,pytorch,178773.609375,5.23939847946167,4.560447692871094,400.0,1.0,1.0,5.0,125.4643325805664,500.0,250210_acd_onoffbench.csv,0.312419593334198,2025-03-20T16:05:05.290Z
0.3150391578674316,3.17422866821289,offload,952.3316040039062,2000.0,70.0,0.3149823248386383,0.0205049626529216,0.1891036480665207,False,3.0,0.3150391578674316,acdnet,0.0311431884765625,70.0,pytorch,178773.609375,5.173703670501709,4.540536880493164,400.0,1.0,1.0,5.0,126.01566314697266,500.0,250210_acd_onoffbench.csv,0.3134615123271942,2025-03-20T16:05:05.290Z
0.3169658482074737,3.15568208694458,offload,1834.5260009765625,2000.0,70.0,0.3168829977512359,0.924355149269104,0.037827230989933,False,6.0,0.3169658482074737,acdnet,0.0623053722083568,70.0,pytorch,178773.609375,4.983886241912842,4.513302326202393,400.0,1.0,1.0,5.0,126.7863311767578,500.0,250210_acd_onoffbench.csv,0.3116826117038727,2025-03-20T16:05:05.290Z
0.3146775066852569,3.177864551544189,offload,482.8408508300781,2000.0,70.0,0.3145925402641296,0.0251864045858383,0.158423438668251,False,1.0,0.3146775066852569,acdnet,0.0249079074710607,70.0,pytorch,178773.609375,5.202963829040527,4.546163082122803,400.0,1.0,1.0,5.0,125.8709945678711,500.0,250210_acd_onoffbench.csv,0.3133744299411773,2025-03-20T16:05:05.290Z
0.5261383056640625,1.9006763696670528,offload,560.6220703125,4000.0,70.0,0.5260804891586304,0.0082094669342041,0.4211781024932861,False,3.0,0.5261383056640625,acdnet,0.0273534450680017,70.0,pytorch,178773.609375,3.2403688430786133,2.718574047088623,400.0,1.0,1.0,3.0,210.4553375244141,500.0,250210_acd_onoffbench.csv,0.5249600410461426,2025-03-20T16:05:05.290Z
0.524375855922699,1.9070308208465576,offload,341.6146545410156,4000.0,70.0,0.5243220925331116,0.0172588769346475,0.3462033271789551,False,1.0,0.524375855922699,acdnet,0.0356284789741039,70.0,pytorch,178773.609375,3.269362688064575,2.727691411972046,400.0,1.0,1.0,3.0,209.75033569335935,500.0,250210_acd_onoffbench.csv,0.5226101875305176,2025-03-20T16:05:05.290Z
